"Registered" "Date" "Year" "Month" "Day" "Hour" "Holiday" "WorkDay" "Weather" "Temp" "TempFeel" "Humidity" "Windspeed" "Casual"
"15325" 742 "2012-10-05" "2012" 10 5 17 0 1 1 0.7 0.6364 0.42 0.1642 158
"5605" 89 "2011-08-26" "2011" 8 5 10 0 1 1 0.74 0.697 0.66 0.0896 34
"6977" 18 "2011-10-23" "2011" 10 0 7 0 0 1 0.34 0.3485 0.87 0.0896 3
"17065" 334 "2012-12-18" "2012" 12 2 19 0 1 1 0.38 0.3939 0.46 0.3881 19
"11913" 273 "2012-05-16" "2012" 5 3 13 0 1 1 0.72 0.6515 0.42 0 77
"1210" 53 "2011-02-23" "2011" 2 3 11 0 1 1 0.24 0.2576 0.41 0.1045 16
"15421" 733 "2012-10-09" "2012" 10 2 17 0 1 2 0.52 0.5 0.68 0.1642 73
"3433" 116 "2011-05-27" "2011" 5 5 22 0 1 1 0.6 0.5758 0.78 0.1343 25
"14330" 25 "2012-08-25" "2012" 8 6 6 0 0 2 0.64 0.5909 0.78 0.1642 5
"6372" 13 "2011-09-28" "2011" 9 3 1 0 1 1 0.6 0.5455 0.88 0 1
"7827" 167 "2011-11-27" "2011" 11 0 17 0 0 1 0.54 0.5152 0.56 0.194 37
"12941" 318 "2012-06-28" "2012" 6 4 9 0 1 1 0.7 0.6515 0.54 0.1642 33
"11339" 38 "2012-04-22" "2012" 4 0 15 0 0 3 0.38 0.3939 0.87 0.3881 0
"7985" 48 "2011-12-04" "2011" 12 0 8 0 0 1 0.26 0.303 0.87 0 7
"10077" 53 "2012-02-29" "2012" 2 3 22 0 1 3 0.42 0.4242 0.94 0.2537 2
"12138" 147 "2012-05-25" "2012" 5 5 22 0 1 1 0.66 0.6212 0.74 0.1045 65
"10827" 10 "2012-04-01" "2012" 4 0 5 0 0 2 0.34 0.3485 0.81 0.0896 8
"5479" 5 "2011-08-21" "2011" 8 0 4 0 0 1 0.68 0.6364 0.83 0.2239 1
"16432" 94 "2012-11-22" "2012" 11 4 9 1 0 1 0.3 0.3333 0.65 0 25
"4295" 148 "2011-07-02" "2011" 7 6 20 0 0 1 0.76 0.6818 0.45 0.2836 136
"4473" 17 "2011-07-10" "2011" 7 0 6 0 0 1 0.64 0.5909 0.78 0.0896 8
"12714" 143 "2012-06-18" "2012" 6 1 22 0 1 2 0.62 0.5909 0.73 0.1642 21
"6974" 1 "2011-10-23" "2011" 10 0 4 0 0 1 0.34 0.3636 0.87 0 5
"820" 114 "2011-02-06" "2011" 2 0 14 0 0 1 0.34 0.3485 0.46 0.0896 47
"16199" 347 "2012-11-12" "2012" 11 1 16 1 0 1 0.56 0.5303 0.64 0.1642 87
"12412" 637 "2012-06-06" "2012" 6 3 8 0 1 1 0.54 0.5152 0.68 0 31
"4665" 95 "2011-07-18" "2011" 7 1 6 0 1 1 0.64 0.5758 0.83 0.1045 10
"10363" 183 "2012-03-12" "2012" 3 1 21 0 1 2 0.54 0.5152 0.56 0.2239 22
"15844" 187 "2012-10-27" "2012" 10 6 8 0 0 1 0.5 0.4848 0.77 0.2537 26
"12290" 136 "2012-06-01" "2012" 6 5 6 0 1 3 0.62 0.5606 0.88 0.1343 5
"16907" 37 "2012-12-12" "2012" 12 3 5 0 1 1 0.26 0.2576 0.6 0.194 0
"7997" 116 "2011-12-04" "2011" 12 0 20 0 0 1 0.36 0.3485 0.76 0.1343 8
"15986" 239 "2012-11-03" "2012" 11 6 18 0 0 2 0.36 0.3333 0.46 0.2836 58
"2418" 112 "2011-04-15" "2011" 4 5 15 1 0 1 0.54 0.5152 0.52 0.4478 50
"16008" 316 "2012-11-04" "2012" 11 0 16 0 0 1 0.4 0.4091 0.4 0.3284 119
